annotation_picture	2	198	322	417	0	0
annotation_text	8	17	304	195	0	0
apple	341	16	352	30	0	0
GenieLamp	369	14	401	33	0	0
GenieFace_1	335	44	373	97	0	0
GenieFace_2	389	44	432	99	0	0
GenieFace_3	443	48	487	95	0	0
GenieFace_4	497	47	542	94	0	0
jewel_1	340	110	357	129	0	0
jewel_2	363	110	380	129	0	0
jewel_3	386	110	403	129	0	0
jewel_4	409	110	426	129	0	0
jewel_5	432	109	449	129	0	0
jewel_6	454	104	486	132	0	0
jewel_7	492	107	515	130	0	0
jewel_8	522	111	539	130	0	0
jewel_9	545	111	562	130	0	0
AladdinFace	340	139	362	166	0	0
BlueHeart_1	343	170	362	197	0	0
BlueHeart_2	366	172	383	198	0	0
BlueHeart_3	387	174	403	198	0	0
BlueHeart_4	406	174	423	198	0	0
BlueHeart_5	426	172	445	198	0	0
BlueHeart_6	448	173	465	199	0	0
BlueHeart_7	467	175	483	199	0	0
BlueHeart_8	486	175	503	199	0	0
AbuFace_1	345	212	364	234	0	0
AbuFace_2	368	212	387	234	0	0
AbuFace_3	391	210	410	234	0	0
AbuFace_4	415	208	434	234	0	0
AbuFace_5	440	208	459	234	0	0
AbuFace_6	462	203	494	234	0	0
AbuFace_7	499	204	531	235	0	0
AbuFace_8	542	206	564	235	0	0
AbuFace_9	570	206	592	235	0	0
AbuFace_10	596	212	615	235	0	0
vase_1	19	423	39	459	0	0
vase_2	49	427	73	459	0	0
vase_3	78	437	112	459	0	0
vase_4	119	424	139	461	0	0
vase_5	145	424	168	461	0	0
vase_6	174	425	200	461	0	0
vase_7	207	425	231	462	0	0
vase_8	239	426	259	463	0	0
vase_9	270	427	294	463	0	0
vase_10	302	428	325	464	0	0
